pump_age,water_tech,water_source,management,district,target,risk_score,risk_pct,#lat_deg,#lon_deg,#water_point_name,#adm2
5.0,Public Tapstand,unknown,unknown,Rulindo,1,0.42941536887925813,42.9,-1.641921079999996,30.055938749999992,Rwanda,Rulindo
5.0,Public Tapstand,unknown,unknown,Rulindo,1,0.42941536887925813,42.9,-1.6410410200000087,30.059724139999993,Rwanda,Rulindo
5.0,Public Tapstand,unknown,unknown,Rulindo,1,0.42941536887925813,42.9,-1.6342376900000013,30.061085230000007,Rwanda,Rulindo
5.0,Public Tapstand,unknown,unknown,Rulindo,1,0.42941536887925813,42.9,-1.6305077100000127,30.051518000000005,Rwanda,Rulindo
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.6235914699999943,30.08799905000001,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.6226021900000107,30.093880979999998,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.6208222200000175,30.093845760000004,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.605921289,30.07293776,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.60009015,30.08416879,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.6431536000000115,30.101742560000012,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.644371984,30.13944554,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.6336414000000121,30.131559600000003,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.6265872999999973,30.112267400000004,Rwanda,Gicumbi
8.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.6553695175834133,65.5,-1.623015209,30.14293449,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.609841699999994,30.105069800000013,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.6060744000000033,30.116403799999993,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.6073157000000187,30.11865789999999,Rwanda,Gicumbi
5.0,Public Tapstand,unknown,unknown,Gicumbi,1,0.5911085120721807,59.1,-1.605582799999996,30.121340300000004,Rwanda,Gicumbi
